LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,DebtToIncomeRatio,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance,CreditScore
4127.84,14841.35,1437.78,17,7,14,3865.15,312.52,91,1,71.54,171.09,191.15,687
65646.4,14841.35,1437.78,17,7,16,3865.15,312.52,93,1,61490,60.99,291.25,651
4186.16,14841.35,1437.78,17,7,16,3865.15,312.52,94,1,71.54,112.76,249.47,636
694.01,15398.95,1548.25,5,4,0,343.84,26.79,340,0,34.81,74.65,315.36,639
660.68,15398.95,1548.25,5,4,0,343.84,26.79,344,0,34.81,107.98,282.03,777
1355.33,27070.07,2518.84,11,4,15,919.76,40.77,350,0,73.23,76.31,362.34,827
1147.55,27070.07,2518.84,11,4,15,919.76,40.77,351,0,73.23,314.09,154.56,631
1317.46,27070.07,2518.84,11,4,1106,919.76,40.77,352,0,73.23,104.18,324.47,760
1261.36,27070.07,2518.84,11,4,13,919.76,40.77,356,0,73.23,190.28,268.37,799
1975.39,139354.48,10872.27,18,0,16,519.3,4.47,244,0,760.61,737.81,695.48,622
666.5,18305.25,1557.44,4,0,9,363.51,23.83,247,0,0,142.75,302.99,554
1069.17,27865.26,2606.11,6,1,18,635.59,27.37,371,1,17.7,117.03,415.88,340
411.02,23404.86,1899.41,7,0,17,35.54,1.82,343,1,0,84.46,375.48,637
431.09,23404.86,1899.41,7,0,16,35.54,1.82,348,1,0,34.39,395.55,811
5114.3,14205.09,1086.76,21,8,19,4845.24,409.31,162,1,49.03,129.61,220.03,482
4166.75,62320.56,5068.38,18,5,15,3589.56,69.12,16,1,171.35,179.65,405.84,655
4233.98,62320.56,5068.38,18,5,15,3589.56,69.12,17,1,171.35,102.42,473.07,741
4183.56,62320.56,5068.38,18,5,17,3589.56,69.12,18,0,171.35,162.84,422.65,738
1570.47,43758.34,3454.53,12,2,2,1194.28,32.75,397,0,56.31,229.26,319.88,603
1412.2,43758.34,3454.53,12,2,2,1194.28,32.75,398,0,56.31,417.53,161.61,550
1298.99,144881.68,11877.47,15,4,12,404.51,3.35,316,1,414.66,553.27,479.82,663
38652.35,108147.3,8926.28,6,4,20,1113.06,12.35,352,1,37514,946.16,25.29,593
3851.73,17759.1,1533.93,19,5,20,3598.39,243.15,57,1,64.55,190.05,188.79,775
3891.46,17759.1,1533.93,19,5,21,3598.39,243.15,59,1,64.55,130.32,228.52,428
3871.26,17759.1,1533.93,19,5,23,3598.39,243.15,63,1,64.55,170.52,208.32,429
3908.7,17759.1,1533.93,19,5,20,3598.39,243.15,64,1,64.55,123.08,245.76,370
1347.85,85328.73,6858.73,11,1,17,585.05,8.23,382,0,68.46,203.07,694.34,522
3582.53,134321.44,9997.59,12,4,21,1428.68,12.76,396,1,1320.55,259.46,833.3,563
3642.47,134321.44,9997.59,12,4,20,1428.68,12.76,399,0,1320.55,209.52,893.24,834
1444.75,28665.76,2582.81,5,1,10,1237.46,51.80,291,0,22.69,340.99,184.6,750
1583.71,28665.76,2582.81,5,1,10,1237.46,51.80,292,0,22.69,182.03,323.56,742
2410.13,38364.82,2904.07,32,4,22,1973.63,61.73,233,1,74.85,123.9,361.65,464
2423,38364.82,2904.07,32,4,22,1973.63,61.73,234,1,74.85,111.04,374.52,438
2235.16,66528.24,5733.02,11,0,8,1460.8,26.35,269,1,0,38.95,774.36,689
693.65,19403.41,1904.95,3,3,11,339.11,20.97,197,0,39.21,125.95,315.33,640
626.88,19403.41,1904.95,3,3,9,339.11,20.97,198,0,39.21,192.72,248.56,663
604.78,19403.41,1904.95,3,3,10,339.11,20.97,203,0,39.21,214.82,226.46,423
684.24,31122.79,2761.57,12,0,20,358.6,13.83,273,0,0,220.51,325.64,670
817.52,31122.79,2761.57,12,0,20,358.6,13.83,275,0,0,57.24,458.92,736
552.08,31122.79,2761.57,12,0,19,358.6,13.83,279,0,0,372.68,193.48,744
693.24,15015.4,1213.28,9,1,11,330.17,26.39,261,0,11.69,48.26,351.38,328
573.6,19777.05,1728.09,3,3,3,186.16,11.30,266,0,29.05,65.38,358.39,339
789.55,20188.02,1851.34,6,3,6,399.92,23.77,243,0,25.58,35.5,364.05,836
784.09,20188.02,1851.34,6,3,6,399.92,23.77,248,0,25.58,50.97,358.59,607
2359.44,55151.04,4704.92,23,6,17,1743.83,37.94,151,1,171.82,104.88,443.79,438
2351.77,55151.04,4704.92,23,6,19,1743.83,37.94,152,1,171.82,112.55,436.12,327
1084.21,30536.62,2430.72,7,2,7,687.87,27.03,184,1,42.97,96.73,353.37,649
2369.62,147499.6,12353.63,12,2,0,1250.67,10.17,247,0,192.21,396.41,926.74,588
2141.42,20005.22,1683.1,6,4,22,1859.45,111.54,150,1,59.51,166.33,222.46,692
2244.02,20005.22,1683.1,6,4,20,1859.45,111.54,154,1,59.51,33.73,325.06,653
2141.31,20005.22,1683.1,6,4,20,1859.45,111.54,156,1,59.51,176.45,222.35,422
3416.58,19795.52,1662.63,34,8,22,3135.02,190.04,28,1,130.48,174.71,151.08,430
3490.01,19795.52,1662.63,34,8,21,3135.02,190.04,29,1,130.48,61.28,224.51,413
4557.07,60938.13,5163.18,31,8,18,3947.24,77.73,58,1,378.3,166.49,231.53,491
2003.9,80396.86,6623.74,9,0,11,1357.54,20.26,317,0,0,266.01,646.36,534
2004.49,80396.86,6623.74,9,0,10,1357.54,20.26,320,0,0,305.42,646.95,687
1877.33,80396.86,6623.74,9,0,11,1357.54,20.26,322,0,0,422.59,519.79,655
2048.94,80396.86,6623.74,9,0,11,1357.54,20.26,323,0,0,230.98,691.4,798
4995.38,57610.32,4517.86,25,9,23,4428.64,92.25,18,1,256.23,135.04,310.51,366
5084.39,57610.32,4517.86,25,9,23,4428.64,92.25,20,1,256.23,36.03,399.52,336
4745.41,57610.32,4517.86,25,9,23,4428.64,92.25,22,1,256.23,415.01,60.54,378
2587.27,19163.22,1346.94,7,2,18,2226.37,139.42,198,0,24.18,13.8,336.72,593
2539.34,19163.22,1346.94,7,2,18,2226.37,139.42,199,1,24.18,81.73,288.79,624
2409.96,94554.87,7914.57,2,0,0,1487.9,18.88,269,0,0,119.4,922.06,582
389.56,63536.98,5382.75,12,2,15,89.62,1.69,372,0,69.1,528.33,230.84,710
446.26,63536.98,5382.75,12,2,16,89.62,1.69,374,1,69.1,451.64,287.54,765
726.86,63536.98,5382.75,12,2,16,89.62,1.69,375,1,69.1,151.04,568.14,791
1509.41,27796.42,2300.37,16,2,15,1073.94,46.36,331,1,36.07,34.57,399.4,835
1014.14,132872.72,11203.73,10,2,6,89.68,0.81,333,0,144.83,475.92,779.63,539
561.33,132872.72,11203.73,10,2,4,89.68,0.81,338,0,144.83,918.72,326.82,612
1276.54,132872.72,11203.73,10,2,5,89.68,0.81,339,0,144.83,173.51,1042.03,541
2190.92,140014.36,11662.86,18,4,10,1151.7,9.87,206,0,348.62,377.06,690.6,683
1754.79,140014.36,11662.86,18,4,10,1151.7,9.87,207,0,348.62,843.2,254.47,714
1183.8,37071.2,3006.27,6,4,3,869.99,28.16,223,0,74.69,276.82,239.12,594
1342.58,37071.2,3006.27,6,4,5,869.99,28.16,225,0,74.69,68.03,397.9,617
2303.35,40391.66,3357.97,18,3,23,1950.62,57.95,98,1,60.37,253.06,292.36,489
2412.31,40391.66,3357.97,18,3,23,1950.62,57.95,101,1,60.37,124.11,401.32,822
74092.88,7441.3,873.11,33,6,16,2569.3,414.33,67,1,71268,96.31,255.58,364
616.59,24585.55,2316.8,14,2,13,195.38,9.54,324,1,30.45,50.47,390.76,737
1296.86,126006.68,10693.56,20,3,12,385.8,3.67,315,1,239.77,408.3,671.29,807
1177.43,126006.68,10693.56,20,3,11,385.8,3.67,317,1,239.77,547.73,551.86,681
1482.89,126006.68,10693.56,20,3,13,385.8,3.67,318,1,239.77,212.27,857.32,806
1421.58,102885.32,8643.78,16,1,13,605.34,7.06,348,1,74.16,298.14,742.08,685
1010.81,34212.01,2847,10,3,10,512.38,17.97,339,0,66.68,26.27,431.75,722
1039.92,118487.16,9810.93,20,4,20,140.26,1.42,377,0,301.56,361.43,598.1,726
1022.14,118487.16,9810.93,20,4,20,140.26,1.42,379,0,301.56,359.21,580.32,815
1200.37,118487.16,9810.93,20,4,21,140.26,1.42,382,0,301.56,170.98,758.55,847
4674.74,77418.52,6450.54,20,7,24,3962.08,61.41,137,1,339.03,212.4,373.63,470
4711.39,77418.52,6450.54,20,7,24,3962.08,61.41,140,0,339.03,135.74,410.28,399
4769.1,77418.52,6450.54,20,7,21,3962.08,61.41,141,1,339.03,78.03,467.99,473
4706.04,77418.52,6450.54,20,7,18,3962.08,61.41,142,1,339.03,141.09,404.93,320
1203.26,24199.24,1951.6,6,1,14,784.35,38.89,254,0,13.89,36.26,405.02,520
1959.76,28587.29,2621.27,7,0,2,1496.38,62.81,293,0,0,88.74,463.38,579
1421.66,16578.12,1426.51,15,2,16,1054.86,76.36,273,1,21.43,25.86,345.37,652
1429.34,16578.12,1426.51,15,2,13,1054.86,76.36,274,1,21.43,58.18,353.05,638
1423.6,16578.12,1426.51,15,2,12,1054.86,76.36,278,1,21.43,53.91,347.31,769
4897.83,74647.4,6327.62,20,6,17,4167.43,66.99,159,1,309.58,142.36,420.82,775
2750.49,33502.1,2890.84,27,6,20,2362.68,84.63,216,1,158.61,191.28,229.2,703
2856.28,33502.1,2890.84,27,6,22,2362.68,84.63,220,1,158.61,45.49,334.99,416
2158.72,91690.53,7795.88,2,2,8,1295.18,16.95,372,0,130.85,156.05,732.69,615
2035.32,91690.53,7795.88,2,2,8,1295.18,16.95,376,0,130.85,289.45,609.29,673
2075.68,30502.54,2595.88,24,7,20,1672.68,65.80,177,1,154.39,106.58,248.61,475
2151.27,30502.54,2595.88,24,7,17,1672.68,65.80,178,1,154.39,21,324.2,332
2002.68,30502.54,2595.88,24,7,20,1672.68,65.80,179,1,154.39,199.59,175.61,468
2006.88,30502.54,2595.88,24,7,20,1672.68,65.80,180,1,154.39,215.38,179.81,486
548.17,30272.61,2258.72,15,1,8,180.94,7.17,193,0,17.98,128.64,349.25,672
552.08,30272.61,2258.72,15,1,8,180.94,7.17,194,1,17.98,124.73,353.16,685
613.91,59971.42,5190.62,6,3,20,203.03,4.06,243,0,107.94,398.18,302.94,650
657.41,42220.39,3490.37,1,4,9,257.81,7.33,269,0,135.27,219.44,264.33,726
565.54,42220.39,3490.37,1,4,9,257.81,7.33,270,0,135.27,331.31,172.46,687
720.56,42220.39,3490.37,1,4,9,257.81,7.33,271,0,135.27,166.29,327.48,783
715.56,42220.39,3490.37,1,4,9,257.81,7.33,273,0,135.27,181.28,322.48,684
1626.69,35376.32,2717.03,19,3,17,1166.47,39.57,219,1,58.22,61.49,402,640
1582.02,35376.32,2717.03,19,3,15,1166.47,39.57,222,1,58.22,126.15,357.33,639
1600.19,35376.32,2717.03,19,3,18,1166.47,39.57,224,1,58.22,87.98,375.5,792
2075.98,115643.01,9910.92,2,3,1,951.36,9.87,221,0,195.39,116.46,929.23,479
849,7512.23,513.02,14,5,19,540.07,86.27,97,1,20.69,32.38,288.24,715
818.35,7512.23,513.02,14,5,17,540.07,86.27,98,1,20.69,63.02,257.59,648
828.21,7512.23,513.02,14,5,17,540.07,86.27,99,0,20.69,53.17,267.45,694
831.24,7512.23,513.02,14,5,20,540.07,86.27,101,1,20.69,10.13,270.48,706
815.71,7512.23,513.02,14,5,15,540.07,86.27,103,1,20.69,35.66,254.95,780
4904.75,35161.46,2930.12,32,6,24,4445.32,151.71,95,1,113.39,123.59,346.04,328
4905.34,35161.46,2930.12,32,6,20,4445.32,151.71,96,1,113.39,82.99,346.63,770
4823.5,35161.46,2930.12,32,6,23,4445.32,151.71,97,1,113.39,204.83,264.79,666
3351.41,9133.05,777.09,34,6,16,3035.88,398.89,109,1,30.2,42.18,285.33,650
3337.82,9133.05,777.09,34,6,19,3035.88,398.89,111,1,30.2,35.77,271.74,566
3327.96,9133.05,777.09,34,6,16,3035.88,398.89,113,0,30.2,75.63,261.88,619
4759.67,19283.47,1886.96,34,9,538,4404.48,274.09,75,1,84.62,103.51,270.57,837
2005.18,9444.8,850.07,28,6,11,1701.58,216.19,67,1,27.59,71.41,276.01,444
2006.44,9444.8,850.07,28,6,12,1701.58,216.19,69,1,27.59,20.14,277.27,465
2014.01,9444.8,850.07,28,6,11,1701.58,216.19,70,1,27.59,62.57,284.84,463
1603.49,70112.78,5989.73,3,2,1,877.06,15.01,304,0,69.72,122.54,656.71,414
1540.88,70112.78,5989.73,3,2,3,877.06,15.01,305,0,69.72,185.15,594.1,396
951.45,31807,2733.58,14,2,8,611.04,23.05,247,1,35.55,202.95,304.86,605
1667.16,10025.2,1089.43,21,7,14,1409.58,168.72,183,1,41.43,141.36,216.15,438
2166.39,64036.88,5591.41,15,4,17,1635.19,30.64,93,0,127.83,307.94,403.37,644
2065.35,64036.88,5591.41,15,4,15,1635.19,30.64,96,1,127.83,408.98,302.33,741
